"company_id","genre","company","name_eng"
346,"company","ไวท์สยาม ดีเวลลอปเม้นท์ จำกัด",NULL
347,"company","ไวท์สยาม ดีเวลลอปเม้นท์ จำกัด (เฟส 26)",NULL
348,"company","ไวส์ เอสเตท 7 จำกัด",NULL
349,"company","ไวส์ ลิฟวิ่งเวล เฮาส์ซิ่ง จำกัด",NULL
352,"company","ไอ อาร์ ซี บี พรอพเพอร์ตี้ แมเนจเมนท์ จำกัด",NULL
350,"company","ไอ อาร์ เอ็ม เอ็กซ์ตร้า จำกัด","IRM"
354,"company","ไอ.จี.เอส. จำกัด (มหาชน)",NULL
355,"company","ไอเอฟเอส ฟาซิลิตี้ เซอร์วิสเซส จำกัด",NULL
357,"company","ไอเอสเอส ฟาซิลิตี้ เซอร์วิส จำกัด",NULL
358,"company","ไอเอสโอ เรียลเอสเตท จำกัด",NULL
359,"company","ไอเฮาส์เอเจนซี่ จำกัด",NULL
360,"company","ไอ-แองเจิล แมเนจเม้นท์ จำกัด",NULL
361,"company","ไอแอมมีเดียแอนด์คอมพิวเตอร์ จำกัด",NULL
362,"company","ไอไลฟ์ แมเนจเม้นท์ จำกัด",NULL
364,"company","ไอคิว แมเนจเม้นท์ จำกัด",NULL
365,"company","ไอคิว แมเนจเม้นท์ จำกัด (สำนักงานใหญ่)",NULL
367,"company","ไอดี โมเดล พรีเซนเทชั่น จำกัด",NULL
368,"company","ไอริส ดี ดีเวลลอปเม้นท์ จำกัด",NULL
370,"company","ไอสไตล์ พร็อพเพอร์ตี้ จำกัด",NULL
371,"company","ไฮไลฟ์ดีเวลลอปเม้นท์ จำกัด",NULL
372,"company","ไฮพร๊อพเพอร์ตี้ เมเนจเม้นท์ จำกัด",NULL
373,"company","กฎหมายกำประเสริฐ จำกัด",NULL
374,"company","กฎุมพี จำกัด",NULL
375,"company","กระบี่คอนโดเทล จำกัด",NULL
376,"company","กรีน อมตะ จำกัด",NULL
377,"company","กรีนโนวา พร็อพเพอร์ตี้ จำกัด",NULL
378,"company","กรุงเทพ แอสเซ็ท แอนด์ คอนซัลแทนท์ จำกัด",NULL
