ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
301,2026,NULL,3714,NULL,854,NULL,NULL,2684,227,14885
302,2026,NULL,7569,NULL,1175,NULL,4868,NULL,228,20881
303,2026,NULL,5019,NULL,796,1734,NULL,NULL,229,20881
304,2026,NULL,7569,NULL,1175,NULL,4868,NULL,230,12511
305,2026,NULL,1040,NULL,828,NULL,NULL,NULL,91,NULL
306,2026,NULL,5389,856,847,NULL,1454,NULL,231,20881
307,2026,NULL,1330,467,828,NULL,4762,NULL,232,20881
308,2026,NULL,7600,NULL,788,NULL,5373,NULL,233,20929
309,2026,NULL,1040,NULL,828,NULL,NULL,NULL,234,NULL
310,2026,NULL,1325,NULL,828,NULL,3059,NULL,156,4991
311,2026,NULL,4049,NULL,847,NULL,989,NULL,235,5206
312,2026,NULL,5289,NULL,828,NULL,NULL,5629,30,14981
313,2026,NULL,1040,NULL,828,NULL,NULL,NULL,236,NULL
314,2026,NULL,3706,NULL,839,NULL,595,NULL,237,6580
315,2026,NULL,6016,NULL,1005,NULL,NULL,1924,61,20881
316,2026,NULL,2885,438,678,NULL,3270,NULL,238,14981
317,2026,NULL,7036,NULL,811,NULL,960,NULL,239,1114
318,2026,NULL,3113,NULL,811,NULL,NULL,5931,120,14981
319,2026,NULL,7386,295,796,NULL,2410,NULL,240,6066
320,2026,NULL,6417,NULL,866,NULL,4991,NULL,241,20881
321,2026,NULL,7386,295,796,NULL,2411,NULL,242,20252
322,2026,NULL,1040,NULL,828,NULL,NULL,NULL,243,NULL
323,2026,NULL,6288,NULL,854,NULL,NULL,183,156,20881
324,2026,NULL,5918,681,866,NULL,4185,NULL,244,5024
325,2026,NULL,3113,NULL,811,NULL,NULL,5931,245,20881
326,2026,NULL,7332,827,742,619,NULL,NULL,246,8359
327,2026,NULL,4650,NULL,777,NULL,NULL,5587,247,8359
328,2026,NULL,3171,NULL,1332,NULL,NULL,5293,248,8568
329,2026,NULL,4033,NULL,820,NULL,1680,NULL,249,8568
330,2026,NULL,5527,312,854,NULL,5044,NULL,250,1335
331,2026,NULL,6482,467,604,NULL,NULL,7803,37,NULL
332,2026,NULL,5918,681,866,NULL,4185,NULL,251,20881
333,2026,NULL,4990,NULL,1329,NULL,1328,NULL,252,8647
334,2026,NULL,1169,846,1005,NULL,NULL,1505,253,22655
335,2026,NULL,2129,NULL,1329,NULL,3490,NULL,254,20881
336,2026,NULL,1488,811,1530,NULL,NULL,567,32,15170
337,2026,NULL,5495,853,1388,NULL,3195,5182,255,20330
338,2026,NULL,5486,NULL,854,NULL,NULL,2263,178,20881
339,2026,NULL,5298,NULL,788,NULL,1741,NULL,256,2059
